signal_date,signal,close_at_signal,D_at_signal,R_at_first_dip,first_dip_date,recovery_date,ret_2w,ret_4w,ret_6w,ret_8w,ret_12w
2023-01-04,BUY,0.8105433784678051,1.2828178766743341,0.5238020767693625,2022-11-15,2022-12-13,10.834428718200728,9.869171954739198,21.465902824053874,25.180547570761448,7.7195348075776105
2025-08-25,BUY,2.942077256528325,1.2885000047604855,0.28727228364601376,2025-06-30,2025-08-08,-1.2010317383692848,-6.4642071501387015,-9.831417803696862,-10.566511459672224,-24.38071213509019
