date,open,high,low,close,volume,r,R,R_2,N,N_2,D,D_2
2022-11-15,195.8800048828125,200.82000732421875,192.05999755859375,194.4199981689453,91293800,0.018009160285334423,-0.4643556054444002,-0.22987600276006045,237.3022299408668,2167.8401728748127,1.3102125430428464,1.5781062706447513
2022-11-16,191.50999450683594,192.57000732421875,185.66000366210938,186.9199981689453,66567600,-0.03934004993858786,-0.4947436295064691,-0.2610080724521529,226.71912386911345,1924.774195308489,1.2992833584643533,1.5536744558624118
2022-11-17,183.9600067138672,186.16000366210938,180.89999389648438,183.1699981689453,64336000,-0.020266034660649707,-0.5066020858127611,-0.3368309387018051,222.93362985319956,1477.874333459377,1.2952497584920544,1.4993956688867858
2022-11-18,185.0500030517578,185.19000244140625,176.5500030517578,180.19000244140625,76048900,-0.016402810087859467,-0.5192917911302387,-0.2926781528713668,219.07427513820457,1681.2117065694654,1.291066324168121,1.5258793013029286
2022-11-21,175.85000610351562,176.77000427246094,167.5399932861328,167.8699951171875,92882700,-0.07082202204033466,-0.5694192985212072,-0.413632464493976,205.51070364386607,1196.094708594186,1.2757556436710864,1.455935688036039
2022-11-22,168.6300048828125,170.9199981689453,166.19000244140625,169.91000366210938,78452300,0.012079065403443036,-0.5343131098619657,-0.33111612983025335,217.6816080315423,1471.257337515903,1.2895385917840982,1.4984737591627968
2022-11-23,173.57000732421875,183.6199951171875,172.5,183.1999969482422,109536700,0.07530952893106566,-0.4813113965186128,-0.2552569864411751,248.81033189866238,1946.570910327002,1.3215570406491326,1.5559878770523972
2022-11-25,185.05999755859375,185.1999969482422,180.6300048828125,182.86000061035156,50672700,-0.0018575995078746789,-0.48533677059153313,-0.19079842477305464,246.70516266417312,2560.273817922302,1.3195215474930573,1.6122884330372127
2022-11-28,179.9600067138672,188.5,179.0,182.9199981689453,92905200,0.00032805270562665304,-0.48154704881044214,-0.20690332264898748,248.2237242797473,2350.8688429744693,1.3209915843945577,1.5947581549210357
2022-11-29,184.99000549316406,186.3800048828125,178.75,180.8300018310547,83357100,-0.011491515256992131,-0.46571554508358287,-0.14662527901840816,254.4522195584764,3263.8739530810462,1.3269284131609587,1.6621700740639278
2022-11-30,182.42999267578125,194.75999450683594,180.6300048828125,194.6999969482422,109186400,0.07390252318127676,-0.38039753080253597,-0.12034784072516246,322.19980754376706,4004.9118714995916,1.383477741768775,1.704205062968711
2022-12-01,197.0800018310547,198.9199981689453,191.8000030517578,194.6999969482422,80046200,0.0,-0.3550815415663737,-0.1919904951780734,340.53719430455953,2461.939329404098,1.3967377670122876,1.6042423003089041
2022-12-02,191.77999877929688,196.25,191.11000061035156,194.86000061035156,73645900,0.0008214584254523483,-0.3467054146728804,-0.26193785534647274,347.50196611511586,1769.7930431460156,1.4015878126756411,1.53642834376969
2022-12-05,189.44000244140625,191.27000427246094,180.5500030517578,182.4499969482422,93122700,-0.06580520897353867,-0.41811882381624654,-0.32593787255228973,297.50781775013263,1447.8090338821412,1.364377604317128,1.4951731221725864
2022-12-06,181.22000122070312,183.64999389648438,175.3300018310547,179.82000732421875,92150800,-0.01451975486845227,-0.40724301155303666,-0.3165813540795173,303.71716033881387,1486.7566990248192,1.36932596453659,1.500626731817138
2022-12-07,175.02999877929688,179.3800048828125,172.22000122070312,174.0399932861328,84213300,-0.03267127201155782,-0.45537470914845046,-0.39496566078685347,274.0718655366291,1187.4045426653258,1.3447219896103795,1.454437604831166
2022-12-08,172.1999969482422,175.1999969482422,169.05999755859375,173.44000244140625,97624500,-0.003453386948248274,-0.4920856525151063,-0.3016949088878762,249.6884930722167,1514.3073635294415,1.3224010510532094,1.5043988906802
2022-12-09,173.83999633789062,182.5,173.36000061035156,179.0500030517578,104872300,0.03183338116095202,-0.4796608579176954,-0.28578133414890206,257.83996056023494,1605.8697050703959,1.330096784403958,1.5164598907834044
2022-12-12,176.10000610351562,177.3699951171875,167.52000427246094,167.82000732421875,109794500,-0.06477309340338366,-0.5798231941704228,-0.35309724773291634,216.59307222692308,1322.6314430423788,1.2883376654249132,1.4765953116048327
2022-12-13,174.8699951171875,175.0500030517578,156.91000366210938,160.9499969482422,175862700,-0.04179828130131225,-0.6373146321768473,-0.4072928797605869,199.716927317045,1156.0222794829858,1.2689050291907333,1.4489348547488248
2022-12-14,159.25,161.6199951171875,155.30999755859375,156.8000030517578,140682300,-0.02612261140486262,-0.6222277980086496,-0.4244448194280028,202.9833386676564,1114.5604181771214,1.2727913240012954,1.4414310640812578
2022-12-15,153.44000244140625,160.92999267578125,153.27999877929688,157.6699981689453,122334500,0.005533102257132837,-0.6519405696916872,-0.3872240118510094,190.76975950589963,1212.9136692518582,1.2579252747262324,1.458804412669047
2022-12-16,159.63999938964844,160.99000549316406,150.0399932861328,150.22999572753906,139032200,-0.04833680500131505,-0.7040375700198921,-0.3618910902935233,180.76879805926285,1288.7192576526008,1.2450255618207224,1.4712590642239
2022-12-19,154.0,155.25,145.82000732421875,149.8699951171875,139390600,-0.0023992055582815475,-0.7051190554320966,-0.3878966182090035,180.59123617758485,1195.2130291594779,1.2447901398920482,1.455784193760304
2022-12-20,146.0500030517578,148.47000122070312,137.66000366210938,137.8000030517578,159563300,-0.08396483835074355,-0.8077644314306567,-0.5252350728398596,162.89625576295174,890.2603331328737,1.2200864944163612,1.3952677681523402
2022-12-21,139.33999633789062,141.25999450683594,135.88999938964844,137.57000732421875,145417400,-0.0016704490129968075,-0.8083342123888192,-0.437628636033283,162.82725036697292,1042.4526106649284,1.2199849932071303,1.4276902538601561
2022-12-22,136.0,136.6300048828125,122.26000213623047,125.3499984741211,210090300,-0.09302311928148893,-0.8753357390624429,-0.5476809129244095,155.3391805528802,851.0180255566021,1.2087069698062518,1.3860062786685026
2022-12-23,126.37000274658203,128.6199951171875,121.0199966430664,123.1500015258789,166989700,-0.017706675474399133,-0.8516038460581765,-0.6548117047435655,157.85668887191568,697.5487129047232,1.212558217938039,1.345151722538701
2022-12-27,117.5,119.66999816894531,108.76000213623047,109.0999984741211,208643400,-0.12113825810398889,-0.9257054506194835,-0.7719341041862186,150.42362294899777,611.4368716277183,1.2010039180641985,1.3180824460153449
2022-12-28,110.3499984741211,116.2699966430664,108.23999786376953,112.70999908447266,221070500,0.032553261278161744,-0.8956189921951369,-0.7350652331559046,157.66033178607995,647.0988519244281,1.2122600498914669,1.3297284557010454
2022-12-29,120.38999938964844,123.56999969482422,117.5,121.81999969482422,221923300,0.07772640277207259,-0.8426903267562933,-0.7015938629921196,171.64543857254432,684.172385058949,1.2326194511601158,1.3411738483327158
2022-12-30,119.94999694824219,124.4800033569336,119.75,123.18000030517578,157777300,0.011102159833173808,-0.8486538289821832,-0.6872849163972443,169.98252779375645,699.9099407083396,1.230287302551324,1.345845979584676
2023-01-03,118.47000122070312,118.80000305175781,104.63999938964844,108.0999984741211,231402800,-0.13058999220665155,-0.9087135133714453,-0.7665357628232796,163.04390809359728,640.9879081323328,1.2203035343835225,1.3277791166058834
2023-01-04,109.11000061035156,114.58999633789062,107.5199966430664,113.63999938964844,180389000,0.04997884108534127,-0.8476372258790272,-0.6984569181265448,177.77356705324405,709.3986631578592,1.2410230077707107,1.3486124699650721
2023-01-05,110.51000213623047,111.75,107.16000366210938,110.33999633789062,157986300,-0.02946907696009933,-0.7870227543606733,-0.7101904176148714,186.45909759260553,699.8260559400206,1.252450134868296,1.3458213556222256
2023-01-06,103.0,114.38999938964844,101.80999755859375,113.05999755859375,220911100,0.024352154998279363,-0.7912997854437702,-0.6981907867501672,185.09994345618946,714.0880693354463,1.250697545901829,1.3499660594135516
2023-01-09,118.95999908447266,123.5199966430664,117.11000061035156,119.7699966430664,190284000,0.057654579278002493,-0.6984350217420381,-0.6657513223773261,211.79984766385434,755.2171875698194,1.282976726319809,1.3614706667184084
2023-01-10,121.06999969482422,122.76000213623047,114.91999816894531,118.8499984741211,167642500,-0.007711027963739906,-0.6949545825731624,-0.6677251218745853,212.53504382286445,753.3690417833639,1.2838068296930065,1.3609672967907196
2023-01-11,122.08999633789062,125.94999694824219,120.51000213623047,123.22000122070312,183810800,0.036109204525613114,-0.5935142708892926,-0.6854211468208502,245.6601064916299,730.5624495551228,1.3185046196589225,1.3546518845288227
2023-01-12,122.55999755859375,124.12999725341797,117.0,123.55999755859375,169400900,0.00275546279838757,-0.5902655649946129,-0.7077827623073046,247.2612869987324,703.3739284101591,1.3200609486683281,1.346860247417762
2023-01-13,116.55000305175781,122.62999725341797,115.5999984741211,122.4000015258789,180714100,-0.009432465746951967,-0.5702961648979881,-0.6494929139086546,253.6433193289945,754.8323487363077,1.3261656544044538,1.3613659517740297
2023-01-17,125.69999694824219,131.6999969482422,125.0199966430664,131.49000549316406,186477000,0.07163646233055776,-0.5020719135776838,-0.5724080241802987,296.94229963746716,871.5159207435984,1.363921810435148,1.3908959868518078
2023-01-18,136.55999755859375,136.67999267578125,127.01000213623047,128.77999877929688,195680300,-0.020825332244057446,-0.5433098174261539,-0.6101233623104796,274.4533841650768,818.4808671642487,1.3450552290938993,1.3779974418925016
2023-01-19,127.26000213623047,129.99000549316406,124.30999755859375,127.16999816894531,170291900,-0.012580752996881307,-0.4774364646238502,-0.62806159954425,303.352300969877,796.5991297078143,1.3690380096671353,1.3724302614054018
2023-01-20,128.67999267578125,133.50999450683594,127.3499984741211,133.4199981689453,138858100,0.04797727392320426,-0.4971666218803074,-0.58741462475191,288.734165914014,860.7164497077115,1.357206712594406,1.3883343183839438
2023-01-23,135.8699951171875,145.3800048828125,134.27000427246094,143.75,203119200,0.07457364612008015,-0.42641514140695963,-0.5148384092486485,347.4263029939588,1000.3766795292331,1.4015356473967568,1.4192260903133151
2023-01-24,143.0,146.5,141.10000610351562,143.88999938964844,158699100,0.0009734348560736818,-0.43380840105122975,-0.5343700198562412,340.3974516974605,959.0605945617269,1.3966394427550994,1.4105609991928694
2023-01-25,141.91000366210938,146.41000366210938,138.07000732421875,144.42999267578125,192734300,0.0037457958683397114,-0.3612756199628309,-0.5386156716068718,397.0364702430911,950.4760466854099,1.4335105379932016,1.4087138017517986
2023-01-26,159.97000122070312,161.4199981689453,154.75999450683594,160.27000427246094,234815100,0.1040650092615062,-0.2911700706809895,-0.527863127344242,508.2818343661212,972.4852871776325,1.4926828017931693,1.4134167958211459
2023-01-27,162.42999267578125,180.67999267578125,161.1699981689453,177.89999389648438,306590600,0.10436164069972145,-0.17182070587418258,-0.42547476467010337,895.1526618066255,1237.792827835113,1.6282615474126914,1.4629757976007434
2023-01-30,178.0500030517578,179.77000427246094,166.5,166.66000366210938,230878800,-0.06526572943550507,-0.28861164723068095,-0.4766467061515153,536.0105780192705,1118.8621627787884,1.5054074980790548,1.4422224625732294
2023-01-31,164.57000732421875,174.3000030517578,162.77999877929688,173.22000122070312,196813500,0.03860663902242871,-0.2599366481704009,-0.40172484847600404,602.3112627485098,1328.2719532992944,1.533344643320722,1.4774695826772795
2023-02-01,173.88999938964844,183.80999755859375,169.92999267578125,181.41000366210938,213806300,0.04619721319012782,-0.2157406228160609,-0.41535668141444265,739.0147963839667,1280.4120763894266,1.5823443096795748,1.4699304776596658
2023-02-02,187.3300018310547,196.75,182.61000061035156,188.27000427246094,217448300,0.03711744228973266,-0.1937466271226,-0.4001215869518842,830.2860522079866,1334.1151554425198,1.6102411798505685,1.4783713642738732
2023-02-03,183.9499969482422,199.0,183.69000244140625,189.97999572753906,232662000,0.009041655543147504,-0.1804072366322215,-0.44731826029945326,893.3869838577452,1179.6359604988866,1.6277885591962646,1.4530890810947459
2023-02-06,193.00999450683594,198.1699981689453,189.9199981689453,194.75999450683594,186188100,0.024849222136681733,-0.1567878725111988,-0.4228952588419739,1037.7635276428393,1255.2699154872162,1.6636748757075932,1.4658562714178107
2023-02-07,196.42999267578125,197.5,189.5500030517578,196.80999755859375,186010300,0.010470780820742525,-0.08830619674070052,-0.423497347501211,1807.5586328233633,1253.3004691352653,1.7966067610023395,1.4655336903203107
2023-02-08,196.10000610351562,203.0,194.30999755859375,201.2899932861328,180673600,0.02250783702828191,-0.06733221781232303,-0.42339236909957845,2390.8604544930563,1253.6434528138236,1.8636049077276513,1.465589905007589
2023-02-09,207.77999877929688,214.0,204.77000427246094,207.32000732421875,215431400,0.029516907690852447,-0.0007232281392144055,-0.39789041354431925,221907.22657194166,1342.325191897877,2.948939300376352,1.4796317684724223
2023-02-10,202.22999572753906,206.1999969482422,192.88999938964844,196.88999938964844,204754100,-0.05161833459581209,-0.0009645529129043429,-0.38090543631111506,166403.76542832793,1396.3840574867809,2.879984931582496,1.4877432162027775
2023-02-13,194.4199981689453,196.3000030517578,187.61000061035156,194.63999938964844,172475500,-0.011493498714308886,0.017308802940529906,-0.4001879557443415,9204.41864634193,1330.3045560781247,2.186533818078166,1.4777837235154794
2023-02-14,191.94000244140625,209.82000732421875,189.44000244140625,209.25,216455700,0.07237801403011461,0.16405220732422746,-0.3030943873497002,970.3514001249093,1776.898560478565,1.6475851015701557,1.537251521891036
2023-02-15,211.75999450683594,214.66000366210938,206.11000061035156,214.24000549316406,181006400,0.023567198213512965,0.11629051730561388,-0.31769525014436484,1342.188364415344,1689.2599689911594,1.7252967209310315,1.5268604463907955
2023-02-16,210.77999877929688,217.64999389648438,201.83999633789062,202.0399932861328,229586500,-0.058631243213632354,0.030504071849471886,-0.34972653808768495,5183.888979244482,1546.4480871181124,2.04899791723824,1.5087137232061778
2023-02-17,199.99000549316406,208.44000244140625,197.5,208.30999755859375,213738500,0.030561678706295534,0.08701574538620897,-0.36485512251217006,1820.6990083383112,1476.9347793574764,1.79834195810919,1.4992650177058733
2023-02-21,204.99000549316406,209.7100067138672,197.22000122070312,197.3699951171875,180018600,-0.05394722804913025,0.015059357051744283,-0.4492962483926558,10675.452822238207,1206.1443974481356,2.2220512033072817,1.4576546247145183
2023-02-22,197.92999267578125,201.99000549316406,191.77999877929688,200.86000061035156,191828500,0.017528035977254008,0.07192744296758603,-0.422816186538883,2215.3946846610324,1284.319407332872,1.8453452820165033,1.4705564564107907
2023-02-23,203.91000366210938,205.13999938964844,196.3300018310547,202.07000732421875,146360000,0.006006057267467943,0.09819953489570382,-0.4084025509170574,1613.2538353603106,1328.8820923042874,1.7693634913777487,1.4775639307484372
2023-02-24,196.3300018310547,197.6699981689453,192.8000030517578,196.8800048828125,142228100,-0.02601977738759486,0.08858256759596857,-0.43070922353427027,1795.4534790749722,1266.7913153289876,1.794997066428177,1.467733311753907
2023-02-27,202.02999877929688,209.4199981689453,201.25999450683594,207.6300048828125,161028300,0.05316324215501689,0.21256783179132013,-0.3568514667298872,742.8125749433244,1540.8081222690669,1.5835722301374022,1.5079630944995648
2023-02-28,210.58999633789062,211.22999572753906,203.75,205.7100067138672,153144900,-0.009290230436857878,0.19119853595101904,-0.3431145739109466,824.8848947808135,1597.2910624799688,1.6086777342272653,1.5153594622627975
2023-03-01,206.2100067138672,207.1999969482422,198.52000427246094,202.77000427246094,156852800,-0.014395089751065829,0.10149391726888772,-0.37981747924972514,1514.9414841891737,1440.2317371922513,1.7543010792774485,1.494095086999841
2023-03-02,186.74000549316406,193.75,186.00999450683594,190.89999389648438,181500700,-0.060322654091468045,0.04302886268529432,-0.4423079079062387,3661.671826275876,1253.8444653171575,1.9657196552926408,1.4656228436113339
2023-03-03,194.8000030517578,200.47999572753906,192.8800048828125,197.7899932861328,154193300,0.03545612908951283,0.07815693906918046,-0.4033901097412616,2045.1274202909265,1385.1222144599901,1.8261878646772356,1.4860796014579236
2023-03-06,198.5399932861328,198.60000610351562,192.3000030517578,193.80999755859375,128100100,-0.02032754273314496,0.06932091159302778,-0.3963946334905552,2314.095952807298,1407.2723065681316,1.855787178389047,1.4893389351803135
2023-03-07,191.3800048828125,194.1999969482422,186.10000610351562,187.7100067138672,148125800,-0.03198003067013721,-0.036561642258386234,-0.41695917306092223,4312.997699465871,1344.2768897801275,2.004938191434643,1.479930258813365
2023-03-08,185.0399932861328,186.5,180.0,182.0,151897800,-0.03089156736881823,-0.06745320962720432,-0.4225347511935782,2367.540873306047,1328.25383923926,1.8612568951796054,1.4774667809701996
2023-03-09,180.25,185.17999267578125,172.50999450683594,172.9199981689453,170023800,-0.05117763786639216,-0.11945230591904883,-0.4661577205919292,1364.3217787875246,1216.121425140838,1.7292149127706369,1.459347023846397
2023-03-10,175.1300048828125,178.2899932861328,168.44000244140625,173.44000244140625,191488900,0.0030026831172517087,-0.05064441382825832,-0.468763237644505,3137.349340243195,1208.639306138362,1.9286982837704898,1.4580791441085805
2023-03-13,167.4600067138672,177.35000610351562,163.91000366210938,174.47999572753906,167790300,0.005978365078895034,-0.030146293880911026,-0.43738930543394766,5252.18882958702,1289.5638531064765,2.0521335551203452,1.4713936623807902
2023-03-14,177.30999755859375,183.8000030517578,177.13999938964844,183.25999450683594,143717900,0.04909578215581386,0.05162076028646063,-0.40375394886198984,3087.936331227453,1407.8228484933416,1.924895265648693,1.4894192911756945
2023-03-15,180.8000030517578,182.33999633789062,176.02999877929688,180.4499969482422,145995600,-0.015452165385496644,0.039621981849212326,-0.45246367066589394,4042.7443115329816,1251.1487004247451,1.9894366498453997,1.465180666154933
2023-03-16,180.3699951171875,185.80999755859375,178.83999633789062,184.1300048828125,121136800,0.020188342220549882,0.027976942908810115,-0.45168391500888533,5698.428692551545,1253.5330193622597,2.071668292544892,1.465571806752529
2023-03-17,184.52000427246094,186.22000122070312,177.3300018310547,180.1300048828125,133197100,-0.021963216854791676,0.07078681945740219,-0.5090363747130208,2212.8691955152044,1108.8703016899042,1.8450720388439648,1.4403795394133272
2023-03-20,178.0800018310547,186.44000244140625,176.35000610351562,183.25,129684400,0.01717250122413543,0.12975760198284986,-0.5075570301939974,1194.8532814382388,1112.481158956299,1.6974416175732332,1.441047443941737
2023-03-21,188.27999877929688,198.0,188.0399932861328,197.5800018310547,153391400,0.07529223411697607,0.2311724475046886,-0.3910553505039611,684.4990555971991,1455.2374618170072,1.5639869621376734,1.49622451457032
2023-03-22,199.3000030517578,200.66000366210938,190.9499969482422,191.14999389648438,150376400,-0.0330851466718186,0.19255419857573733,-0.45938637111594993,831.0813582237374,1238.1679930354167,1.610470533614607,1.4630380562571421
2023-03-23,195.25999450683594,199.30999755859375,188.64999389648438,192.22000122070312,144193900,0.0055821275337720674,0.24647313111082417,-0.45756443890906784,637.9971323442604,1243.61577070118,1.5471333565891072,1.4639399951093142
2023-03-24,191.64999389648438,192.36000061035156,187.14999389648438,190.41000366210938,116312400,-0.009460894526444498,0.23941144214266116,-0.46570761328943544,658.7327623947554,1224.1435371478258,1.5547953538419026,1.460697771629118
2023-03-27,194.4199981689453,197.38999938964844,189.94000244140625,191.80999755859375,120851600,0.007325624786097459,0.3307019052795023,-0.4770625261511545,461.8256179103777,1191.912579938452,1.469721655598176,1.4552161013046516
2023-03-28,192.0,192.35000610351562,185.42999267578125,189.19000244140625,98654600,-0.013753472002494866,0.31861888229000424,-0.48971533009881496,481.8044904960698,1164.4758818044475,1.4798671064702131,1.4504317226242573
2023-03-29,193.1300048828125,195.2899932861328,189.44000244140625,193.8800048828125,123660000,0.0244876221590413,0.4361296237305344,-0.43920611533190845,341.77270430797336,1297.9379266175063,1.3976053326198725,1.4727234386848533
2023-03-30,195.5800018310547,197.3300018310547,194.4199981689453,195.27999877929688,110252200,0.007194983671774654,0.4610312828767083,-0.39057256318146827,321.8305275039482,1448.1575563307968,1.3832030239586264,1.4952225712477174
2023-03-31,197.52999877929688,207.7899932861328,197.1999969482422,207.4600067138672,170222100,0.060504162532241994,0.6426737035129392,-0.2830317471065443,224.73725618829772,2004.5856715211398,1.297180069666596,1.562021337117419
